user_id,plan_type,start_date,mrr,churned
U00002,pro,2024-01-23,40,False
U00003,pro,2024-01-24,20,True
U00012,team,2024-01-13,40,False
U00026,pro,2024-01-28,20,False
U00027,team,2024-01-17,20,False
U00029,team,2024-01-10,20,False
U00030,pro,2024-01-16,40,False
U00045,pro,2024-01-11,40,True
U00047,pro,2024-01-15,20,False
U00057,team,2024-01-25,40,False
U00063,pro,2024-01-11,20,True
U00083,pro,2024-01-22,20,True
U00087,pro,2024-01-27,20,False
U00094,pro,2024-01-26,20,False
U00108,team,2024-01-29,20,False
U00109,pro,2024-01-27,40,False
U00114,pro,2024-01-22,20,False
U00119,pro,2024-01-11,20,True
U00129,team,2024-01-10,20,False
U00130,pro,2024-01-22,20,False
U00136,team,2024-01-25,40,False
U00142,team,2024-01-27,20,False
U00165,pro,2024-01-27,20,False
U00167,team,2024-01-19,40,False
U00171,pro,2024-01-16,40,False
U00176,team,2024-01-25,20,False
U00181,team,2024-01-21,20,False
U00183,team,2024-01-13,40,False
U00186,pro,2024-01-12,20,True
U00189,team,2024-01-21,20,True
U00200,pro,2024-01-20,40,False
U00209,team,2024-01-22,40,False
U00211,team,2024-01-22,20,False
U00215,pro,2024-01-29,20,False
U00218,team,2024-01-23,20,False
U00222,team,2024-01-28,20,False
U00231,team,2024-01-12,40,True
U00232,team,2024-01-28,20,False
U00233,team,2024-01-26,20,False
U00244,team,2024-01-12,20,False
U00246,team,2024-01-19,40,True
U00250,pro,2024-01-12,40,True
U00254,pro,2024-01-20,40,False
U00262,team,2024-01-18,20,True
U00265,pro,2024-01-23,20,False
U00268,pro,2024-01-26,20,False
U00269,team,2024-01-29,20,False
U00275,pro,2024-01-20,20,False
U00281,team,2024-01-19,40,False
U00285,team,2024-01-13,20,False
U00302,pro,2024-01-13,20,False
U00306,pro,2024-01-20,20,False
U00332,pro,2024-01-12,20,False
U00334,pro,2024-01-16,40,False
U00344,pro,2024-01-10,20,False
U00357,team,2024-01-28,20,False
U00360,pro,2024-01-20,40,False
U00368,pro,2024-01-29,20,False
U00377,pro,2024-01-11,40,False
U00388,pro,2024-01-28,20,True
U00397,pro,2024-01-16,40,False
U00398,pro,2024-01-14,20,True
U00402,pro,2024-01-11,20,False
U00403,pro,2024-01-28,40,False
U00407,team,2024-01-27,20,False
U00410,team,2024-01-23,20,False
U00416,pro,2024-01-13,20,False
U00419,pro,2024-01-19,20,False
U00425,pro,2024-01-21,40,False
U00429,pro,2024-01-14,20,False
U00435,pro,2024-01-10,40,False
U00437,pro,2024-01-29,20,False
U00438,pro,2024-01-20,20,False
U00439,pro,2024-01-26,20,False
U00443,pro,2024-01-20,40,False
U00449,pro,2024-01-22,20,True
U00453,pro,2024-01-16,20,False
U00455,pro,2024-01-12,40,False
U00456,pro,2024-01-20,20,False
U00468,pro,2024-01-24,20,False
U00477,pro,2024-01-13,20,True
