user_id,signup_date,country,persona,acquisition_channel
U00001,2024-02-08,India,team,email
U00002,2024-02-21,UK,student,organic
U00003,2024-01-29,India,student,paid_ads
U00004,2024-01-15,USA,team,paid_ads
U00005,2024-02-12,India,student,email
U00006,2024-01-08,India,team,paid_ads
U00007,2024-01-21,USA,student,email
U00008,2024-02-08,India,hobbyist,referral
U00009,2024-02-27,USA,team,paid_ads
U00010,2024-01-19,UK,hobbyist,paid_ads
U00011,2024-01-23,India,student,email
U00012,2024-01-11,India,student,email
U00013,2024-01-11,UK,team,organic
U00014,2024-01-24,USA,hobbyist,email
U00015,2024-02-22,India,student,paid_ads
U00016,2024-02-05,USA,professional,email
U00017,2024-02-09,Germany,student,referral
U00018,2024-01-24,USA,student,email
U00019,2024-01-03,USA,hobbyist,paid_ads
U00020,2024-01-22,India,professional,email
U00021,2024-02-22,USA,professional,referral
U00022,2024-01-02,India,hobbyist,organic
U00023,2024-01-24,UK,team,paid_ads
U00024,2024-02-13,USA,team,paid_ads
U00025,2024-01-30,India,student,organic
U00026,2024-02-07,USA,student,paid_ads
U00027,2024-01-02,UK,hobbyist,paid_ads
U00028,2024-02-29,UK,hobbyist,paid_ads
U00029,2024-01-21,USA,student,organic
U00030,2024-02-02,USA,hobbyist,email
U00031,2024-01-12,UK,professional,paid_ads
U00032,2024-02-27,Germany,hobbyist,organic
U00033,2024-01-22,USA,hobbyist,email
U00034,2024-02-13,India,professional,paid_ads
U00035,2024-01-25,Germany,student,paid_ads
U00036,2024-02-18,India,team,referral
U00037,2024-01-27,UK,student,organic
U00038,2024-02-28,USA,student,organic
U00039,2024-02-11,USA,hobbyist,referral
U00040,2024-01-28,USA,student,organic
U00041,2024-02-29,USA,student,organic
U00042,2024-01-16,UK,student,organic
U00043,2024-01-15,India,student,organic
U00044,2024-02-16,USA,student,email
U00045,2024-02-20,UK,professional,paid_ads
U00046,2024-02-13,UK,hobbyist,paid_ads
U00047,2024-02-24,India,professional,organic
U00048,2024-02-21,USA,hobbyist,paid_ads
U00049,2024-02-26,USA,student,email
U00050,2024-01-03,India,team,organic
U00051,2024-02-06,India,student,referral
U00052,2024-02-20,USA,student,organic
U00053,2024-01-07,USA,student,organic
U00054,2024-01-21,USA,hobbyist,organic
U00055,2024-01-09,India,student,organic
U00056,2024-02-08,USA,professional,paid_ads
U00057,2024-01-18,India,hobbyist,email
U00058,2024-01-04,USA,professional,email
U00059,2024-01-25,USA,student,referral
U00060,2024-02-29,USA,team,referral
U00061,2024-01-14,India,hobbyist,paid_ads
U00062,2024-02-19,India,professional,organic
U00063,2024-02-27,UK,student,organic
U00064,2024-01-09,USA,professional,paid_ads
U00065,2024-01-26,USA,hobbyist,email
U00066,2024-02-22,UK,student,organic
U00067,2024-01-02,India,student,referral
U00068,2024-01-20,USA,student,organic
U00069,2024-01-28,India,student,organic
U00070,2024-02-16,India,team,email
U00071,2024-02-29,India,hobbyist,email
U00072,2024-01-07,USA,student,paid_ads
U00073,2024-02-13,USA,professional,paid_ads
U00074,2024-01-08,India,hobbyist,organic
U00075,2024-02-16,India,hobbyist,organic
U00076,2024-02-04,USA,student,organic
U00077,2024-01-14,USA,student,email
U00078,2024-01-17,UK,student,referral
U00079,2024-02-05,UK,student,paid_ads
U00080,2024-02-19,USA,team,email
U00081,2024-02-09,Germany,student,organic
U00082,2024-01-04,India,student,paid_ads
U00083,2024-01-02,India,professional,paid_ads
U00084,2024-01-06,India,professional,organic
U00085,2024-02-23,USA,student,paid_ads
U00086,2024-02-11,India,professional,organic
U00087,2024-01-04,India,student,paid_ads
U00088,2024-02-23,UK,professional,email
U00089,2024-01-29,India,professional,paid_ads
U00090,2024-01-18,India,hobbyist,referral
U00091,2024-01-26,USA,student,paid_ads
U00092,2024-02-13,USA,hobbyist,organic
U00093,2024-02-03,India,student,email
U00094,2024-01-10,India,hobbyist,organic
U00095,2024-02-05,Germany,team,paid_ads
U00096,2024-01-14,USA,student,organic
U00097,2024-01-31,USA,student,email
U00098,2024-02-17,USA,hobbyist,paid_ads
U00099,2024-01-15,USA,student,email
U00100,2024-01-08,USA,professional,email
U00101,2024-01-14,India,hobbyist,organic
U00102,2024-01-23,USA,professional,email
U00103,2024-02-29,Germany,professional,organic
U00104,2024-02-26,Germany,hobbyist,paid_ads
U00105,2024-02-09,USA,hobbyist,paid_ads
U00106,2024-01-21,UK,professional,organic
U00107,2024-01-16,USA,hobbyist,email
U00108,2024-02-14,USA,hobbyist,organic
U00109,2024-01-18,USA,hobbyist,paid_ads
U00110,2024-02-16,USA,professional,referral
U00111,2024-02-22,UK,professional,organic
U00112,2024-01-24,USA,professional,paid_ads
U00113,2024-01-26,UK,professional,email
U00114,2024-01-25,UK,team,organic
U00115,2024-02-29,USA,hobbyist,referral
U00116,2024-02-29,USA,professional,referral
U00117,2024-02-29,USA,hobbyist,organic
U00118,2024-02-14,India,student,organic
U00119,2024-02-10,USA,professional,email
U00120,2024-01-29,USA,professional,organic
U00121,2024-01-15,UK,hobbyist,paid_ads
U00122,2024-02-14,UK,student,organic
U00123,2024-01-01,USA,student,paid_ads
U00124,2024-01-25,India,professional,organic
U00125,2024-01-07,USA,student,referral
U00126,2024-01-09,UK,hobbyist,paid_ads
U00127,2024-01-24,India,student,email
U00128,2024-01-01,UK,professional,email
U00129,2024-02-13,Germany,student,organic
U00130,2024-01-08,India,hobbyist,paid_ads
U00131,2024-01-24,Germany,team,organic
U00132,2024-01-11,USA,team,email
U00133,2024-02-20,India,hobbyist,paid_ads
U00134,2024-01-17,India,professional,paid_ads
U00135,2024-01-08,India,student,paid_ads
U00136,2024-02-04,USA,student,email
U00137,2024-02-04,UK,student,email
U00138,2024-02-02,India,professional,paid_ads
U00139,2024-02-28,USA,professional,organic
U00140,2024-01-05,Germany,hobbyist,email
U00141,2024-02-11,UK,hobbyist,referral
U00142,2024-02-08,USA,hobbyist,referral
U00143,2024-02-27,USA,hobbyist,paid_ads
U00144,2024-02-10,India,student,organic
U00145,2024-01-28,USA,hobbyist,organic
U00146,2024-01-07,India,hobbyist,email
U00147,2024-01-09,India,hobbyist,organic
U00148,2024-01-08,India,professional,referral
U00149,2024-01-12,Germany,professional,paid_ads
U00150,2024-02-03,UK,hobbyist,paid_ads
U00151,2024-02-02,Germany,hobbyist,referral
U00152,2024-02-17,Germany,student,email
U00153,2024-02-24,USA,professional,email
U00154,2024-01-23,India,hobbyist,organic
U00155,2024-01-24,India,student,email
U00156,2024-02-06,USA,student,paid_ads
U00157,2024-02-04,USA,professional,organic
U00158,2024-02-13,India,student,organic
U00159,2024-02-09,India,professional,referral
U00160,2024-01-22,UK,team,email
U00161,2024-01-27,India,team,organic
U00162,2024-02-04,India,team,paid_ads
U00163,2024-01-01,UK,student,organic
U00164,2024-02-04,India,hobbyist,organic
U00165,2024-02-06,UK,professional,organic
U00166,2024-02-16,Germany,professional,referral
U00167,2024-01-14,India,student,organic
U00168,2024-01-03,India,student,paid_ads
U00169,2024-01-01,UK,student,paid_ads
U00170,2024-01-05,UK,professional,organic
U00171,2024-01-26,UK,hobbyist,paid_ads
U00172,2024-02-24,India,professional,organic
U00173,2024-01-14,UK,team,paid_ads
U00174,2024-02-08,USA,hobbyist,organic
U00175,2024-01-27,UK,hobbyist,organic
U00176,2024-01-09,USA,team,paid_ads
U00177,2024-01-15,UK,team,organic
U00178,2024-01-15,USA,student,organic
U00179,2024-01-26,USA,student,email
U00180,2024-02-11,USA,student,referral
U00181,2024-02-29,USA,student,organic
U00182,2024-01-13,USA,professional,referral
U00183,2024-02-20,India,student,organic
U00184,2024-02-01,India,hobbyist,paid_ads
U00185,2024-02-08,India,professional,organic
U00186,2024-02-18,USA,hobbyist,paid_ads
U00187,2024-02-21,UK,professional,referral
U00188,2024-02-01,India,team,organic
U00189,2024-01-04,USA,student,organic
U00190,2024-01-30,USA,student,organic
U00191,2024-02-06,UK,team,organic
U00192,2024-01-23,India,professional,email
U00193,2024-02-08,India,professional,referral
U00194,2024-02-14,Germany,hobbyist,paid_ads
U00195,2024-01-15,USA,hobbyist,email
U00196,2024-02-12,India,hobbyist,paid_ads
U00197,2024-01-29,India,team,organic
U00198,2024-02-05,Germany,professional,organic
U00199,2024-01-13,India,student,email
U00200,2024-02-01,India,student,email
U00201,2024-01-07,Germany,student,paid_ads
U00202,2024-02-28,India,team,organic
U00203,2024-02-20,Germany,hobbyist,organic
U00204,2024-01-22,UK,hobbyist,paid_ads
U00205,2024-01-28,USA,professional,organic
U00206,2024-01-02,USA,hobbyist,email
U00207,2024-02-11,USA,hobbyist,organic
U00208,2024-02-14,USA,hobbyist,organic
U00209,2024-02-26,India,professional,email
